Feature Category,Feature Type,Northing,Easting,Elevation,Condition,Activated,Corridor ID
Roadway,EP,200477.2532,1034086.012,66.8959,0,1,0
Roadway,EP,200481.1393,1034074.205,66.8316,0,1,0
Roadway,EP,200482.9568,1034068.425,66.8003,0,1,0
Roadway,EP,200483.2724,1034067.422,66.794,0,1,0
Roadway,EP,200483.324,1034067.251,66.793,0,1,0
Roadway,EP,200483.838,1034065.55,66.7802,0,1,0
Roadway,EP,200486.3585,1034057.211,66.7112,0,1,0
Roadway,EP,200488.6636,1034049.249,66.6452,0,1,0
Roadway,EP,200490.0295,1034044.281,66.6039,0,1,0
Roadway,EP,200490.2437,1034043.502,66.5979,0,1,0
Roadway,EP,200490.3164,1034043.237,66.596,0,1,0
Roadway,EP,200490.635,1034042.078,66.5889,0,1,0
Roadway,EP,200493.0585,1034033.263,66.5285,0,1,0
Roadway,EP,200496.2899,1034020.798,66.4379,0,1,0
Roadway,EP,200496.7456,1034019.04,66.4265,0,1,0
Roadway,EP,200496.9498,1034018.253,66.4227,0,1,0
Roadway,EP,200497.2839,1034016.902,66.4155,0,1,0
Roadway,EP,200499.4323,1034008.217,66.3674,0,1,0
Roadway,EP,200502.5341,1033994.926,66.2855,0,1,0
Roadway,EP,200502.5597,1033994.816,66.2849,0,1,0
Roadway,EP,200502.5973,1033994.656,66.2839,0,1,0
Roadway,EP,200502.6043,1033994.626,66.2837,0,1,0
Roadway,EP,200502.6343,1033994.497,66.2826,0,1,0
Roadway,EP,200504.1316,1033988.081,66.2319,0,1,0
Roadway,EP,200506.5752,1033976.819,66.1345,0,1,0
Roadway,EP,200507.4735,1033972.678,66.098,0,1,0
Roadway,EP,200507.6812,1033971.668,66.0886,0,1,0
Roadway,EP,200507.713,1033971.514,66.0871,0,1,0
Roadway,EP,200508.2472,1033968.917,66.0659,0,1,0
Roadway,EP,200509.0613,1033964.959,66.0305,0,1,0
Roadway,EP,200511.3317,1033953.358,65.9214,0,1,0
Roadway,EP,200511.7741,1033950.897,65.8963,0,1,0
Roadway,EP,200512.2885,1033948.037,65.8686,0,1,0
Roadway,EP,200512.4733,1033947.009,65.8588,0,1,0
Roadway,EP,200512.4804,1033946.969,65.8584,0,1,0
Roadway,EP,200513.0197,1033943.97,65.8284,0,1,0
Roadway,EP,200514.4694,1033935.907,65.7528,0,1,0
Roadway,EP,200516.3863,1033923.811,65.6263,0,1,0
Roadway,EP,200516.6232,1033922.316,65.6316,0,1,0
Roadway,EP,200516.6798,1033921.959,65.6209,0,1,0
Roadway,EP,200516.8037,1033921.177,65.5919,0,1,0
Roadway,EP,200517.5021,1033916.77,65.5177,0,1,0
Roadway,EP,200518.8557,1033907.178,65.3505,0,1,0
Roadway,EP,200519.8692,1033899.146,65.2064,0,1,0
Roadway,EP,200519.9728,1033898.325,65.1915,0,1,0
Roadway,EP,200519.9755,1033898.304,65.1911,0,1,0
Roadway,EP,200520.1355,1033897.036,65.1731,0,1,0
Roadway,EP,200520.6749,1033892.762,65.1144,0,1,0
Roadway,EP,200522.0197,1033880.558,64.944,0,1,0
Roadway,EP,200522.5941,1033874.643,64.8603,0,1,0
Roadway,EP,200522.7098,1033873.451,64.8428,0,1,0
Roadway,EP,200523.0216,1033870.24,64.7732,0,1,0
Roadway,EP,200524.3929,1033856.117,64.4735,0,1,0
Roadway,EP,200525.0103,1033849.368,64.3303,0,1,0
Roadway,EP,200525.0835,1033848.568,64.313,0,1,0
Roadway,EP,200527.0783,1033826.761,63.8495,0,1,0
Roadway,EP,200527.3603,1033823.678,63.7848,0,1,0
Roadway,EP,200527.959,1033817.133,63.6418,0,1,0
Roadway,EP,200529.1638,1033802.988,63.3322,0,1,0
Roadway,EP,200529.5224,1033798.777,63.2367,0,1,0
Roadway,EP,200529.5308,1033798.679,63.2344,0,1,0
Roadway,EP,200529.6201,1033797.63,63.2104,0,1,0
Roadway,EP,200531.4154,1033773.869,62.6713,0,1,0
Roadway,EP,200531.416,1033773.855,62.671,0,1,0
Roadway,EP,200531.4164,1033773.855,62.671,0,1,0
Roadway,EP,200531.4173,1033773.844,62.6708,0,1,0
Roadway,EP,200533.365,1033748.937,62.149,0,1,0
Roadway,EP,200533.3651,1033748.937,62.149,0,1,0
Roadway,EP,200533.3653,1033748.935,62.1489,0,1,0
Roadway,EP,200535.271,1033724.016,61.536,0,1,0
Roadway,EP,200535.2712,1033724.016,61.536,0,1,0
Roadway,EP,200535.2715,1033724.012,61.5359,0,1,0
Roadway,EP,200536.9634,1033699.077,60.849,0,1,0
Roadway,EP,200536.963,1033699.076,60.849,0,1,0
Roadway,EP,200536.9642,1033699.064,60.8488,0,1,0
Roadway,EP,200537.7423,1033687.09,60.6057,0,1,0
Roadway,EP,200538.632,1033673.407,60.328,0,1,0
Roadway,EP,200538.6315,1033673.407,60.3284,0,1,0
Roadway,EP,200538.6328,1033673.387,60.328,0,1,0
Roadway,EP,200540.225,1033648.462,59.753,0,1,0
Roadway,EP,200540.2245,1033648.462,59.7534,0,1,0
Roadway,EP,200540.2257,1033648.44,59.7529,0,1,0
Roadway,EP,200541.2306,1033629.521,59.3394,0,1,0
Roadway,EP,200541.5499,1033623.508,59.2081,0,1,0
Roadway,EP,200541.5501,1033623.504,59.208,0,1,0
Roadway,EP,200541.55,1033623.504,59.208,0,1,0
Roadway,EP,200541.8776,1033617.247,59.0353,0,1,0
Roadway,EP,200542.8565,1033598.545,58.5194,0,1,0
Roadway,EP,200542.857,1033598.545,58.519,0,1,0
Roadway,EP,200542.8576,1033598.523,58.5189,0,1,0
Roadway,EP,200543.4742,1033586.09,58.2287,0,1,0
Roadway,EP,200544.0899,1033573.673,57.9392,0,1,0
Roadway,EP,200544.0904,1033573.663,57.939,0,1,0
Roadway,EP,200544.09,1033573.663,57.939,0,1,0
Roadway,EP,200545.1351,1033548.995,57.4125,0,1,0
Roadway,EP,200545.148,1033548.691,57.406,0,1,0
Roadway,EP,200545.148,1033548.691,57.406,0,1,0
Roadway,EP,200545.165,1033548.262,57.3957,0,1,0
Roadway,EP,200546.1371,1033523.725,56.8072,0,1,0
Roadway,EP,200546.137,1033523.717,56.807,0,1,0
Roadway,EP,200546.1374,1033523.717,56.807,0,1,0
Roadway,EP,200546.683,1033509.887,56.4908,0,1,0
Roadway,EP,200547.123,1033498.743,56.236,0,1,0
Roadway,EP,200547.1227,1033498.743,56.2364,0,1,0
Roadway,EP,200547.1234,1033498.725,56.236,0,1,0
Roadway,EP,200548.0309,1033473.765,55.6582,0,1,0
Roadway,EP,200548.031,1033473.765,55.658,0,1,0
Roadway,EP,200548.7576,1033448.813,55.0544,0,1,0
Roadway,EP,200548.759,1033448.782,55.053,0,1,0
Roadway,EP,200548.7585,1033448.782,55.0538,0,1,0
Roadway,EP,200548.7593,1033448.749,55.0531,0,1,0
Roadway,EP,200549.354,1033423.961,54.513,0,1,0
Roadway,EP,200549.3536,1033423.961,54.5136,0,1,0
Roadway,EP,200549.3543,1033423.936,54.5131,0,1,0
Roadway,EP,200550.015,1033398.972,54.032,0,1,0
Roadway,EP,200550.015,1033398.972,54.032,0,1,0
Roadway,EP,200550.015,1033398.972,54.032,0,1,0
Roadway,EP,200550.1207,1033397.973,53.988,0,1,0
Roadway,EP,200550.121,1033397.973,53.988,0,1,0
Roadway,EP,200550.1209,1033397.964,53.9878,0,1,0
Roadway,EP,200550.1935,1033393.975,53.883,0,1,0
Roadway,EP,200550.194,1033393.974,53.883,0,1,0
